Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,0.5,0.3160997732,0.6839002268000001,-0.37994323925071066,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5001758157644185,0.5,-0.37994323925071066,-0.1092823067266259,-0.27066093252408474,0.10352269980055528,0.2125770733994447,0.045189012135072905,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,1.0,0.3777777778,0.6222222222,-0.4744579796308301,1.0,0.0,0.0,-0.422763592371523,1.0,-0.4744579796308301,-0.16092645417777113,-0.31353152545305896,0.14864531761515165,0.22913246018484834,0.05250168431036111,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,2.0,0.453968254,0.5460317459999999,-0.6050781620703197,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.3429745162941684,2.0,-0.6050781620703197,-0.2642147490800616,-0.34086341299025813,0.2321913642473321,0.2217768897526679,0.04918498882836701,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,4.0,0.4462585034,0.5537414966,-0.5910573137677846,2.0,1.3862943611198906,0.6020599913279624,-0.35041349537383987,4.0,-0.5910573137677846,-0.4707913388846426,-0.120265974883142,0.37549212467319615,0.07076637872680386,0.005007880358105438,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,6.0,0.5269841269,0.47301587310000004,-0.7486263327023215,2.449489742783178,1.791759469228055,0.7781512503836436,-0.2782024658188756,6.0,-0.7486263327023215,-0.6773679286892236,-0.07125840401309791,0.49204779917214736,0.0349363277278526,0.0012205469951079224,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,24.0,0.7755102041,0.22448979589999996,-1.4939250253940743,4.898979485566356,3.1780538303479458,1.380211241711606,-0.11041248340141756,24.0,-1.4939250253940743,-2.5365572369304523,1.042632211536378,0.9208616139572312,-0.14535140985723116,0.021127032347484795,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,32.0,0.8181405895,0.18185941049999998,-1.704521360194078,5.656854249492381,3.4657359027997265,1.505149978319906,-0.08717206063464722,32.0,-1.704521360194078,-3.362863596148776,1.658342235954698,0.965364066527109,-0.14722347702710903,0.0216747521879517,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10328829490229048,k = -slope,,48.0,0.9986394558,0.00136054419999998,-6.599870512212852,6.928203230275509,3.871201010907891,1.6812412373755872,-0.0005912791604324976,48.0,-6.599870512212852,-5.015476314585424,-1.5843941976274278,0.9933655288109015,0.005273926989098565,2.7814305886342258e-05,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
SNAHCO3RawData,NH4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1027655214326819,k_H = slope,,0.5,0.3160997732,0.6839002268000001,-0.37994323925071066,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5001758157644185,0.7071067811865476,0.3160997732,0.33999172995451005,-0.023891956754510058,0.33999172995451005,-0.023891956754510058,0.0005708255975593788,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046
SNAHCO3RawData,NH4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1027655214326819,k_H = slope,,1.0,0.3777777778,0.6222222222,-0.4744579796308301,1.0,0.0,0.0,-0.422763592371523,1.0,0.3777777778,0.3700910543099711,0.007686723490028913,0.3700910543099711,0.007686723490028913,5.9085718012162267e-05,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046
