Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Parameter,Value,Parameter from Fit,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
Higuchi Model,√t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1179769367785615,k_H = slope,,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542
First-Order Model,Time,ln(1 − F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
Ritger-Peppas Model,log(t),log(F),log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3662567278235827,n = slope; k = 10^(intercept),0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239
Elovich Model,ln(t),F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.13743704452405003,1/beta = slope,,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476
