Model,Parameter,Value,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
First-Order Model,k (first-order),0.06986566759019877,,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
Ritger-Peppas Model,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226
Higuchi Model,k_H (Higuchi constant),0.1124502967726229,,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
Elovich Model,slope (1/beta),0.14046169233170452,,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
