Model,Parameter,Value,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
Higuchi Model,k_H (Higuchi constant),0.1027655214326819,,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046
Ritger-Peppas Model,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707
Elovich Model,slope (1/beta),0.1395660500205335,,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418
First-Order Model,k (first-order),0.10328829490229048,,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
