Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,2.0,0.3400673401,0.6599326598999999,-0.4156174796216723,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.4684350754928603,1.4142135623730951,0.3400673401,0.298415013830864,0.04165232626913601,0.298415013830864,0.04165232626913601,0.0017349162836305576,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,4.0,0.3872053872,0.6127946128,-0.489725451717113,2.0,1.3862943611198906,0.6020599913279624,-0.4120586089696431,2.0,0.3872053872,0.3863199180146427,0.0008854691853572572,0.3863199180146427,0.0008854691853572572,7.840556782172447e-07,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,6.0,0.4579124579,0.5420875421,-0.6123277737952553,2.449489742783178,1.791759469228055,0.7781512503836436,-0.3392175409588102,2.449489742783178,0.4579124579,0.4537717233705608,0.004140734529439194,0.4537717233705608,0.004140734529439194,1.7145682443290022e-05,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,8.0,0.4276094276,0.5723905724,-0.5579337017359672,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.3689527283708305,2.8284271247461903,0.4276094276,0.5106362257104501,-0.0830267981104501,0.5106362257104501,-0.0830267981104501,0.006893449204473441,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,24.5,0.8013468013,0.19865319869999998,-1.616194694661387,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09617949228606465,4.949747468305833,0.8013468013,0.8289680435298293,-0.027621242229829313,0.8289680435298293,-0.027621242229829313,0.0007629330223189062,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,32.0,0.9865319866,0.013468013400000034,-4.307437782732807,5.656854249492381,3.4657359027997265,1.505149978319906,-0.0058888289331617905,5.656854249492381,0.9865319866,0.9350786494696224,0.051453337130377585,0.9350786494696224,0.051453337130377585,0.0026474459018522925,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,0.5,0.202020202,0.797979798,-0.22567199764225201,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.6946051989769981,-0.6931471805599453,0.202020202,0.09916208947249373,0.10285811252750628,0.09916208947249373,0.10285811252750628,0.010579791312721144,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,1.0,0.2390572391,0.7609427609,-0.2731971395866084,1.0,0.0,0.0,-0.6214981005204534,0.0,0.2390572391,0.22013406419916928,0.01892317490083073,0.22013406419916928,0.01892317490083073,0.00035808654832743015,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,2.0,0.3400673401,0.6599326598999999,-0.4156174796216723,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.4684350754928603,0.6931471805599453,0.3400673401,0.34110603892584485,-0.0010386988258448415,0.34110603892584485,-0.0010386988258448415,1.0788952508114524e-06,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,4.0,0.3872053872,0.6127946128,-0.489725451717113,2.0,1.3862943611198906,0.6020599913279624,-0.4120586089696431,1.3862943611198906,0.3872053872,0.4620780136525204,-0.07487262645252041,0.4620780136525204,-0.07487262645252041,0.005605910191898659,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,6.0,0.4579124579,0.5420875421,-0.6123277737952553,2.449489742783178,1.791759469228055,0.7781512503836436,-0.3392175409588102,1.791759469228055,0.4579124579,0.532842082505813,-0.07492962460581298,0.532842082505813,-0.07492962460581298,0.005614448643568054,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,8.0,0.4276094276,0.5723905724,-0.5579337017359672,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.3689527283708305,2.0794415416798357,0.4276094276,0.5830499883791959,-0.15544056077919588,0.5830499883791959,-0.15544056077919588,0.024161767935350888,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,24.5,0.8013468013,0.19865319869999998,-1.616194694661387,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09617949228606465,3.1986731175506815,0.8013468013,0.7783846268324152,0.02296217446758486,0.7783846268324152,0.02296217446758486,0.0005272614562798062,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.17452566802471983,1/beta = slope,,32.0,0.9865319866,0.013468013400000034,-4.307437782732807,5.656854249492381,3.4657359027997265,1.505149978319906,-0.0058888289331617905,3.4657359027997265,0.9865319866,0.824993937832547,0.16153804876745292,0.824993937832547,0.16153804876745292,0.026094541199596,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,0.5,0.202020202,0.797979798,-0.22567199764225201,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.6946051989769981,-0.3010299956639812,-0.6946051989769981,-0.7223225329438678,0.027717333966869706,0.18952978373761392,0.012490418262386088,0.00015601054836934791,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,1.0,0.2390572391,0.7609427609,-0.2731971395866084,1.0,0.0,0.0,-0.6214981005204534,0.0,-0.6214981005204534,-0.612331234203427,-0.009166866317026345,0.24415676710728837,-0.005099528007288356,2.6005185897118356e-05,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,2.0,0.3400673401,0.6599326598999999,-0.4156174796216723,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.4684350754928603,0.3010299956639812,-0.4684350754928603,-0.5023399354629863,0.03390485997012599,0.31452854400346153,0.025538796096538474,0.0006522301060605688,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,4.0,0.3872053872,0.6127946128,-0.489725451717113,2.0,1.3862943611198906,0.6020599913279624,-0.4120586089696431,0.6020599913279624,-0.4120586089696431,-0.3923486367225454,-0.019709972247097696,0.4051831377234203,-0.01797775052342032,0.00032319951388233966,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,6.0,0.4579124579,0.5420875421,-0.6123277737952553,2.449489742783178,1.791759469228055,0.7781512503836436,-0.3392175409588102,0.7781512503836436,-0.3392175409588102,-0.3280078515537693,-0.011209689405040857,0.4698856135271901,-0.01197315562719009,0.00014335645567291374,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,8.0,0.4276094276,0.5723905724,-0.5579337017359672,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.3689527283708305,0.9030899869919435,-0.3689527283708305,-0.28235733798210455,-0.08659539038872593,0.5219665376176139,-0.09435711001761393,0.008903264210876099,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,24.5,0.8013468013,0.19865319869999998,-1.616194694661387,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09617949228606465,1.3891660843645324,-0.09617949228606465,-0.10475330513889802,0.008573812852833373,0.7856818033560377,0.015664997943962367,0.0002453921605843452,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.3653831854790194,n = slope; k = 10^(intercept),0.24415676710728837,32.0,0.9865319866,0.013468013400000034,-4.307437782732807,5.656854249492381,3.4657359027997265,1.505149978319906,-0.0058888289331617905,1.505149978319906,-0.0058888289331617905,-0.062374740501222825,0.056485911568061035,0.8662141213788264,0.1203178652211736,0.014476388691380496,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
