Model,Parameter,Value,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
First-Order Model,k (first-order),0.05396130878162242,,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
Higuchi Model,k_H (Higuchi constant),0.14018760282512607,,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054
Ritger-Peppas Model,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218
Elovich Model,slope (1/beta),0.16309589983251585,,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968
