Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,PO4_1_corr,PO4_2_corr,PO4_3_corr,PO4_avg,PO4_pct,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F
0.5,33.0,34.0,34.0,23.2,24.4,22.1,0.97,0.95,0.97,136.77,133.95,136.77,135.83,29.19191919,0.2919191919,0.7080808081000001,-0.3451970560669413,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5347373518695543
1.0,44.0,43.0,45.0,28.3,27.6,27.4,1.06,1.09,1.07,149.46,153.69,150.87,151.34,32.52525253,0.3252525253,0.6747474747,-0.39341676966234923,1.0,0.0,0.0,-0.4877793228383282
2.0,52.0,51.0,50.0,36.4,31.7,32.0,1.21,1.22,1.19,170.60999999999999,172.02,167.79,170.14,36.56565657,0.3656565657,0.6343434343000001,-0.45516477672890815,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.43692662401279675
4.0,52.0,57.0,55.0,33.6,31.5,33.3,1.38,1.4,1.4,194.57999999999998,197.39999999999998,197.39999999999998,196.46,42.22222222,0.4222222222,0.5777777778,-0.5485659517103763,2.0,1.3862943611198906,0.6020599913279624,-0.3744589128453723
6.0,59.0,68.0,61.0,38.3,40.5,37.4,1.6,1.61,1.56,225.60000000000002,227.01000000000002,219.96,224.19,48.18181818,0.4818181818,0.5181818182,-0.6574290979227784,2.449489742783178,1.791759469228055,0.7781512503836436,-0.31711681557382443
24.0,85.0,86.0,89.0,57.0,55.8,58.2,2.21,2.0,2.2,311.61,282.0,310.20000000000005,301.27,64.74747475,0.6474747475,0.3525252525,-1.0426330209978416,4.898979485566356,3.1780538303479458,1.380211241711606,-0.18877716506179432
32.0,98.0,87.0,94.0,57.5,62.3,60.6,2.48,2.41,2.45,349.68,339.81,345.45000000000005,344.98,74.14141414,0.7414141414,0.25858585860000005,-1.3525274985943854,5.656854249492381,3.4657359027997265,1.505149978319906,-0.12993913468976295
48.0,99.0,99.0,99.0,73.5,73.2,73.5,2.92,2.94,2.93,411.71999999999997,414.54,413.13,413.13,88.78787879,0.8878787879,0.11212121210000003,-2.1881747420054904,6.928203230275509,3.871201010907891,1.6812412373755872,-0.0516463195134024
