Model,Parameter,Value,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
Higuchi Model,k_H (Higuchi constant),0.09097634114746063,,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
Ritger-Peppas Model,n (release exponent),0.23849147186935918,0.32176903659479167,0.23849147186935918,-0.49245574980506557,0.9807141183666589,0.03352407121557709,6.441306259663089
First-Order Model,k (first-order),0.03506523235941262,,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
Elovich Model,slope (1/beta),0.12339966561339287,,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
