Dataset,Analyte,Model,Parameter,Value,k (RitgerPeppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%),Linearized X,Linearized Y,Points Used,Best Model Rank
SNAHCO3,PO4,Higuchi,k_H,0.09097634114746063,,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727,sqrt(t),F,8,1
SNAHCO3,Mg,First-Order,k,0.06986566759019877,,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,Time,ln(1-F),7,1
SNAHCO3,NH4,Higuchi,k_H,0.1027655214326819,,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,sqrt(t),F,8,1
EPS,NH4,First-Order,k,0.05396130878162242,,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,Time,ln(1-F),8,1
EPS,PO4,Higuchi,k_H,0.1179769367785615,,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,sqrt(t),F,8,1
EPS,Mg,Higuchi,k_H,0.15006305803168243,,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,sqrt(t),F,8,1
