Model,Parameter,Value,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
Higuchi Model,k_H (Higuchi constant),0.15006305803168243,,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
Ritger-Peppas Model,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
Elovich Model,slope (1/beta),0.17452566802471983,,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
First-Order Model,k (first-order),0.10750441778505102,,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
